X,CH1,
Second,Volt,
-2.9599994e-02,4.00000e-02,
-2.9399995e-02,0.00000e+00,
-2.9199995e-02,0.00000e+00,
-2.8999995e-02,4.00000e-02,
-2.8799992e-02,0.00000e+00,
-2.8599992e-02,4.00000e-02,
-2.8399993e-02,0.00000e+00,
-2.8199993e-02,0.00000e+00,
-2.7999993e-02,4.00000e-02,
-2.7799994e-02,0.00000e+00,
-2.7599994e-02,0.00000e+00,
-2.7399994e-02,4.00000e-02,
-2.7199995e-02,0.00000e+00,
-2.6999995e-02,4.00000e-02,
-2.6799995e-02,0.00000e+00,
-2.6599992e-02,4.00000e-02,
-2.6399992e-02,0.00000e+00,
-2.6199993e-02,4.00000e-02,
-2.5999993e-02,4.00000e-02,
-2.5799993e-02,0.00000e+00,
-2.5599994e-02,0.00000e+00,
-2.5399994e-02,4.00000e-02,
-2.5199994e-02,0.00000e+00,
-2.4999995e-02,0.00000e+00,
-2.4799995e-02,0.00000e+00,
-2.4599995e-02,0.00000e+00,
-2.4399996e-02,0.00000e+00,
-2.4199992e-02,4.00000e-02,
-2.3999993e-02,4.00000e-02,
-2.3799993e-02,0.00000e+00,
-2.3599993e-02,4.00000e-02,
-2.3399994e-02,4.00000e-02,
-2.3199994e-02,4.00000e-02,
-2.2999994e-02,0.00000e+00,
-2.2799995e-02,4.00000e-02,
-2.2599995e-02,0.00000e+00,
-2.2399995e-02,0.00000e+00,
-2.2199996e-02,4.00000e-02,
-2.1999996e-02,0.00000e+00,
-2.1799993e-02,-8.00000e-02,
-2.1599993e-02,-8.00000e-02,
-2.1399993e-02,0.00000e+00,
-2.1199994e-02,4.00000e-02,
-2.0999994e-02,0.00000e+00,
-2.0799994e-02,4.00000e-02,
-2.0599995e-02,8.00000e-02,
-2.0399995e-02,4.00000e-02,
-2.0199995e-02,4.00000e-02,
-1.9999996e-02,4.00000e-02,
-1.9799996e-02,0.00000e+00,
-1.9599993e-02,0.00000e+00,
-1.9399993e-02,4.00000e-02,
-1.9199993e-02,0.00000e+00,
-1.8999994e-02,-8.00000e-02,
-1.8799994e-02,0.00000e+00,
-1.8599994e-02,4.00000e-02,
-1.8399995e-02,0.00000e+00,
-1.8199995e-02,4.00000e-02,
-1.7999995e-02,4.00000e-02,
-1.7799996e-02,8.00000e-02,
-1.7599996e-02,4.00000e-02,
-1.7399997e-02,0.00000e+00,
-1.7199993e-02,0.00000e+00,
-1.6999993e-02,-8.00000e-02,
-1.6799994e-02,0.00000e+00,
-1.6599994e-02,-8.00000e-02,
-1.6399994e-02,0.00000e+00,
-1.6199995e-02,-8.00000e-02,
-1.5999995e-02,4.00000e-02,
-1.5799996e-02,0.00000e+00,
-1.5599997e-02,4.00000e-02,
-1.5399997e-02,8.00000e-02,
-1.5199997e-02,8.00000e-02,
-1.4999998e-02,0.00000e+00,
-1.4799994e-02,0.00000e+00,
-1.4599995e-02,4.00000e-02,
-1.4399995e-02,0.00000e+00,
-1.4199995e-02,-8.00000e-02,
-1.3999996e-02,0.00000e+00,
-1.3799996e-02,-8.00000e-02,
-1.3599996e-02,4.00000e-02,
-1.3399997e-02,8.00000e-02,
-1.3199997e-02,8.00000e-02,
-1.2999997e-02,4.00000e-02,
-1.2799998e-02,8.00000e-02,
-1.2599994e-02,0.00000e+00,
-1.2399995e-02,0.00000e+00,
-1.2199995e-02,-8.00000e-02,
-1.1999995e-02,-8.00000e-02,
-1.1799996e-02,-8.00000e-02,
-1.1599996e-02,-8.00000e-02,
-1.1399996e-02,4.00000e-02,
-1.1199997e-02,4.00000e-02,
-1.0999997e-02,8.00000e-02,
-1.0799997e-02,8.00000e-02,
-1.0599998e-02,8.00000e-02,
-1.0399998e-02,8.00000e-02,
-1.0199995e-02,0.00000e+00,
-9.9999951e-03,0.00000e+00,
-9.7999955e-03,-8.00000e-02,
-9.5999958e-03,-8.00000e-02,
-9.3999961e-03,-8.00000e-02,
-9.1999965e-03,-8.00000e-02,
-8.9999968e-03,0.00000e+00,
-8.7999972e-03,0.00000e+00,
-8.5999975e-03,8.00000e-02,
-8.3999978e-03,8.00000e-02,
-8.1999982e-03,1.20000e-01,
-7.9999985e-03,8.00000e-02,
-7.7999947e-03,4.00000e-02,
-7.5999950e-03,4.00000e-02,
-7.3999953e-03,-8.00000e-02,
-7.1999957e-03,-8.00000e-02,
-6.9999960e-03,-1.20000e-01,
-6.7999964e-03,-1.20000e-01,
-6.5999967e-03,-8.00000e-02,
-6.3999970e-03,-8.00000e-02,
-6.1999974e-03,4.00000e-02,
-5.9999977e-03,4.00000e-02,
-5.7999981e-03,1.20000e-01,
-5.5999947e-03,1.20000e-01,
-5.3999950e-03,8.00000e-02,
-5.1999954e-03,1.20000e-01,
-4.9999957e-03,0.00000e+00,
-4.7999960e-03,0.00000e+00,
